Site Name: rozmarin Jerusalem 
Borehole Name: 1.1
Borehole Depth: 20.5 metres
Interval: 0.5m
Degrees From North: 0
Latitude: 0.0, Longitude: 0.0
Operator Name: 
Probe Serial Number: DPI0189
Reel Serial Number: 520
Survey Date: 20240718_135605
Survey Comment: 
ID, DEPTH_METRES, A_POSITIVE_SINX, B_POSITIVE_SINX, A_POSITIVE_MM, B_POSITIVE_MM, A_NEGATIVE_SINX, B_NEGATIVE_SINX, A_NEGATIVE_MM, B_NEGATIVE_MM, POSITIVE_TEMP, NEGATIVE_TEMP, BASE_AVG_A_POSITIVE_MM, BASE_AVG_B_POSITIVE_MM, BASE_AVG_A_NEGATIVE_MM, BASE_AVG_B_NEGATIVE_MM, CHECKSUM_A_MM, CHECKSUM_B_MM, MEAN_DEVIATION_A_MM, MEAN_DEVIATION_B_MM, BASE_MEAN_DEVIATION_A_MM, BASE_MEAN_DEVIATION_B_MM, ABSOLUTE_A_MM, ABSOLUTE_B_MM, INCREMENTAL_DISPLACEMENT_A_MM, INCREMENTAL_DISPLACEMENT_B_MM, CUMULATIVE_DISPLACEMENT_A_MM, CUMULATIVE_DISPLACEMENT_B_MM
15447, 0.5, 0.023406, 0.0097554, 11.703, 4.8777, -0.021797, -0.0101376, -10.8985, -5.0688, 22.375, 22.3672,  null, null, null, null, 0.8045, -0.1911, 11.30075, 4.97325,  null, null, 57.38286, 55.16216,  null, null,  null, null, 
15446, 1.0, 0.0236824, 0.0101018, 11.8412, 5.0509, -0.021537, -0.0096852, -10.7685, -4.8426, 22.2969, 22.3359,  null, null, null, null, 1.0727, 0.2083, 11.30485, 4.94675,  null, null, 46.082108, 50.188908,  null, null,  null, null, 
15445, 1.5, 0.0218496, 0.0098798, 10.9248, 4.9399, -0.0198668, -0.0096252, -9.9334, -4.8126, 22.2266, 22.2578,  null, null, null, null, 0.9914, 0.1273, 10.4291, 4.87625,  null, null, 34.777256, 45.242157,  null, null,  null, null, 
15444, 2.0, 0.019147, 0.009751, 9.5735, 4.8755, -0.016904, -0.0094762, -8.452, -4.7381, 22.1953, 22.25,  null, null, null, null, 1.1215, 0.1374, 9.01275, 4.8068,  null, null, 24.348156, 40.365906,  null, null,  null, null, 
15443, 2.5, 0.0144294, 0.0114158, 7.2147, 5.7079, -0.0125434, -0.011545, -6.2717, -5.7725, 22.2031, 22.2344,  null, null, null, null, 0.943, -0.0646, 6.7432, 5.7402,  null, null, 15.335405, 35.559105,  null, null,  null, null, 
15442, 3.0, 0.0083906, 0.00976782, 4.1953, 4.88391, -0.0060646, -0.0092396, -3.0323, -4.6198, 22.1719, 22.2109,  null, null, null, null, 1.163, 0.26411, 3.6138, 4.751855,  null, null, 8.592205, 29.818905,  null, null,  null, null, 
15441, 3.5, 0.0040292, 0.0088128, 2.0146, 4.4064, -0.0019156, -0.0084764, -0.9578, -4.2382, 22.1328, 22.1641,  null, null, null, null, 1.0568, 0.1682, 1.4862, 4.3223,  null, null, 4.978405, 25.06705,  null, null,  null, null, 
15440, 4.0, 0.0024962, 0.0063112, 1.2481, 3.1556, -1.842E-4, -0.0061804, -0.0921, -3.0902, 22.1406, 22.2031,  null, null, null, null, 1.156, 0.0654, 0.6701, 3.1229,  null, null, 3.4922051, 20.744751,  null, null,  null, null, 
15439, 4.5, 0.0043418, 0.0026706, 2.1709, 1.3353, -0.0022376, -0.0022682, -1.1188, -1.1341, 22.1484, 22.1797,  null, null, null, null, 1.0521, 0.2012, 1.64485, 1.2347,  null, null, 2.8221052, 17.621851,  null, null,  null, null, 
15438, 5.0, 0.0042048, 6.264E-4, 2.1024, 0.3132, -0.0021186, -2.826E-4, -1.0593, -0.1413, 22.1719, 22.1797,  null, null, null, null, 1.0431, 0.1719, 1.58085, 0.22725,  null, null, 1.1772552, 16.387152,  null, null,  null, null, 
