Site Name: rozmarin Jerusalem 
Borehole Name: 1.1
Borehole Depth: 20.5 metres
Interval: 0.5m
Degrees From North: 0
Latitude: 0.0, Longitude: 0.0
Operator Name: yair
Probe Serial Number: DPI0354
Reel Serial Number: 520
Survey Date: 20250828_110518
Survey Comment: 
ID, DEPTH_METRES, A_POSITIVE_SINX, B_POSITIVE_SINX, A_POSITIVE_MM, B_POSITIVE_MM, A_NEGATIVE_SINX, B_NEGATIVE_SINX, A_NEGATIVE_MM, B_NEGATIVE_MM, POSITIVE_TEMP, NEGATIVE_TEMP, BASE_AVG_A_POSITIVE_MM, BASE_AVG_B_POSITIVE_MM, BASE_AVG_A_NEGATIVE_MM, BASE_AVG_B_NEGATIVE_MM, CHECKSUM_A_MM, CHECKSUM_B_MM, MEAN_DEVIATION_A_MM, MEAN_DEVIATION_B_MM, BASE_MEAN_DEVIATION_A_MM, BASE_MEAN_DEVIATION_B_MM, ABSOLUTE_A_MM, ABSOLUTE_B_MM, INCREMENTAL_DISPLACEMENT_A_MM, INCREMENTAL_DISPLACEMENT_B_MM, CUMULATIVE_DISPLACEMENT_A_MM, CUMULATIVE_DISPLACEMENT_B_MM
29206, 0.5, 0.0229708, 0.006629, 11.4854, 3.3145, -0.0221456, -0.0019434, -11.0728, -0.9717, 20.9609, 20.8828,  null, null, null, null, 0.4126, 2.3428, 11.2791, 2.1431,  null, null, 61.369194, 48.68045,  null, null,  null, null, 
29205, 1.0, 0.0234252, 0.010576, 11.7126, 5.288, -0.0228706, -0.0054038, -11.4353, -2.7019, 20.9297, 20.8125,  null, null, null, null, 0.2773, 2.5861, 11.57395, 3.99495,  null, null, 50.090096, 46.53735,  null, null,  null, null, 
29204, 1.5, 0.0212434, 0.0124742, 10.6217, 6.2371, -0.0212342, -0.0066336, -10.6171, -3.3168, 20.8047, 20.8125,  null, null, null, null, 0.0046, 2.9203, 10.6194, 4.77695,  null, null, 38.516148, 42.5424,  null, null,  null, null, 
29203, 2.0, 0.0186016, 0.012267, 9.3008, 6.13351, -0.0184802, -0.0065784, -9.2401, -3.2892, 20.8047, 20.7734,  null, null, null, null, 0.0607, 2.84431, 9.27045, 4.711355,  null, null, 27.896748, 37.76545,  null, null,  null, null, 
29202, 2.5, 0.0152566, 0.0126954, 7.6283, 6.3477, -0.0125486, -0.0101862, -6.2743, -5.0931, 20.7812, 20.7344,  null, null, null, null, 1.354, 1.2546, 6.9513, 5.7204,  null, null, 18.626299, 33.054096,  null, null,  null, null, 
29201, 3.0, 0.0102468, 0.0115596, 5.1234, 5.7798, -0.0072652, -0.009144, -3.6326, -4.572, 20.7422, 20.6875,  null, null, null, null, 1.4908, 1.2078, 4.378, 5.1759,  null, null, 11.674999, 27.333696,  null, null,  null, null, 
29200, 3.5, 0.0029432, 0.0116484, 1.4716, 5.8242, -0.0029378, -0.0064688, -1.4689, -3.2344, 20.7031, 20.6484,  null, null, null, null, 0.0027, 2.5898, 1.47025, 4.5293,  null, null, 7.2969995, 22.157797,  null, null,  null, null, 
29199, 4.0, 0.001394, 0.0092832, 0.697, 4.6416, -8.298E-4, -0.00422, -0.4149, -2.11, 20.6875, 20.6797,  null, null, null, null, 0.2821, 2.5316, 0.55595, 3.3758,  null, null, 5.8267493, 17.628496,  null, null,  null, null, 
29198, 4.5, 0.0032912, 0.00545181, 1.6456, 2.72591, -0.0031938, -2.388E-4, -1.5969, -0.1194, 20.6641, 20.6172,  null, null, null, null, 0.0487, 2.60651, 1.62125, 1.422655,  null, null, 5.270799, 14.252696,  null, null,  null, null, 
29197, 5.0, 0.0032892, 0.0029644, 1.6446, 1.4822, -0.003027, 0.0015802, -1.5135, 0.7901, 20.6484, 20.6172,  null, null, null, null, 0.1311, 2.2723, 1.57905, 0.34605,  null, null, 3.649549, 12.830041,  null, null,  null, null, 
