Site Name: rozmarin Jerusalem 
Borehole Name: 1.1
Borehole Depth: 20.5 metres
Interval: 0.5m
Degrees From North: 0
Latitude: 0.0, Longitude: 0.0
Operator Name: yair
Probe Serial Number: DPI0354
Reel Serial Number: 520
Survey Date: 20250828_104832
Survey Comment: 
ID, DEPTH_METRES, A_POSITIVE_SINX, B_POSITIVE_SINX, A_POSITIVE_MM, B_POSITIVE_MM, A_NEGATIVE_SINX, B_NEGATIVE_SINX, A_NEGATIVE_MM, B_NEGATIVE_MM, POSITIVE_TEMP, NEGATIVE_TEMP, BASE_AVG_A_POSITIVE_MM, BASE_AVG_B_POSITIVE_MM, BASE_AVG_A_NEGATIVE_MM, BASE_AVG_B_NEGATIVE_MM, CHECKSUM_A_MM, CHECKSUM_B_MM, MEAN_DEVIATION_A_MM, MEAN_DEVIATION_B_MM, BASE_MEAN_DEVIATION_A_MM, BASE_MEAN_DEVIATION_B_MM, ABSOLUTE_A_MM, ABSOLUTE_B_MM, INCREMENTAL_DISPLACEMENT_A_MM, INCREMENTAL_DISPLACEMENT_B_MM, CUMULATIVE_DISPLACEMENT_A_MM, CUMULATIVE_DISPLACEMENT_B_MM
29165, 0.5, 0.022721, 0.007598, 11.3605, 3.799, -0.0229376, -0.0023876, -11.4688, -1.1938, 20.9219, 20.9453,  null, null, null, null, -0.1083, 2.6052, 11.41465, 2.4964,  null, null, 59.926346, 51.872894,  null, null,  null, null, 
29164, 1.0, 0.0230962, 0.0112354, 11.5481, 5.6177, -0.0229716, -0.005406, -11.4858, -2.703, 20.8672, 20.8516,  null, null, null, null, 0.0623, 2.9147, 11.51695, 4.16035,  null, null, 48.511696, 49.376495,  null, null,  null, null, 
29163, 1.5, 0.021162, 0.0124926, 10.581, 6.2463, -0.0212462, -0.006587, -10.6231, -3.2935, 20.8438, 20.8203,  null, null, null, null, -0.0421, 2.9528, 10.60205, 4.7699,  null, null, 36.994747, 45.216145,  null, null,  null, null, 
29162, 2.0, 0.0185936, 0.012125, 9.2968, 6.0625, -0.018482, -0.0065876, -9.241, -3.2938, 20.7656, 20.7578,  null, null, null, null, 0.0558, 2.7687, 9.2689, 4.67815,  null, null, 26.392698, 40.446243,  null, null,  null, null, 
29161, 2.5, 0.015282, 0.0125722, 7.641, 6.2861, -0.0125436, -0.0102448, -6.2718, -5.1224, 20.7578, 20.75,  null, null, null, null, 1.3692, 1.1637, 6.9564, 5.70425,  null, null, 17.123798, 35.768093,  null, null,  null, null, 
29160, 3.0, 0.0074404, 0.0124948, 3.7202, 6.2474, -0.0072688, -0.0091986, -3.6344, -4.5993, 20.7344, 20.7031,  null, null, null, null, 0.0858, 1.6481, 3.6773, 5.42335,  null, null, 10.1673975, 30.063845,  null, null,  null, null, 
29159, 3.5, 0.0028728, 0.0119046, 1.4364, 5.9523, -0.0030428, -0.0063882, -1.5214, -3.1941, 20.6562, 20.6562,  null, null, null, null, -0.085, 2.7582, 1.4789, 4.5732,  null, null, 6.4900975, 24.640495,  null, null,  null, null, 
29158, 4.0, 0.0013362, 0.00926362, 0.6681, 4.63181, -9.042E-4, -0.0042034, -0.4521, -2.1017, 20.6719, 20.6094,  null, null, null, null, 0.216, 2.53011, 0.5601, 3.366755,  null, null, 5.0111976, 20.067295,  null, null,  null, null, 
29157, 4.5, 0.0032662, 0.005407, 1.6331, 2.7035, -0.0035894, 4.536E-4, -1.7947, 0.2268, 20.6328, 20.6172,  null, null, null, null, -0.1616, 2.9303, 1.7139, 1.23835,  null, null, 4.4510975, 16.70054,  null, null,  null, null, 
29156, 5.0, 0.0032052, 0.0031068, 1.6026, 1.5534, -0.0034632, 0.002336, -1.7316, 1.168, 20.6406, 20.5469,  null, null, null, null, -0.129, 2.7214, 1.6671, 0.1927,  null, null, 2.7371974, 15.46219,  null, null,  null, null, 
29155, 5.5, 0.004094, 0.00305381, 2.047, 1.5269, -0.002318, 0.001475, -1.159, 0.7375, 20.6016, 20.5469,  null, null, null, null, 0.888, 2.2644, 1.603, 0.3947,  null, null, 1.0700976, 15.269489,  null, null,  null, null, 
29154, 6.0, 0.006871, 0.0018734, 3.4355, 0.936702, -0.0064292, 0.0025062, -3.2146, 1.2531, 20.6562, 20.5703,  null, null, null, null, 0.2209, 2.189802, 3.32505, -0.158199,  null, null, -0.5329025, 14.874789,  null, null,  null, null, 
29153, 6.5, 0.0041404, 0.0049752, 2.0702, 2.4876, -0.0041374, 0.0010352, -2.0687, 0.5176, 20.6094, 20.5312,  null, null, null, null, 0.0015, 3.0052, 2.06945, 0.985,  null, null, -3.8579526, 15.032989,  null, null,  null, null, 
29152, 7.0, 0.0024062, 0.0051248, 1.2031, 2.5624, -0.0023598, 4.112E-4, -1.1799, 0.2056, 20.6094, 20.5547,  null, null, null, null, 0.0232, 2.768, 1.1915, 1.1784,  null, null, -5.9274025, 14.047989,  null, null,  null, null, 
29151, 7.5, 3.278E-4, 0.00484101, 0.1639, 2.4205, -3.706E-4, 7.038E-4, -0.1853, 0.3519, 20.6094, 20.5,  null, null, null, null, -0.0214, 2.7724, 0.1746, 1.0343,  null, null, -7.118902, 12.869589,  null, null,  null, null, 
29150, 8.0, -9.94E-4, 0.005204, -0.497, 2.602, 0.0011072, 1.9924E-4, 0.5536, 0.09962, 20.6328, 20.5,  null, null, null, null, 0.0566, 2.70162, -0.5253, 1.25119,  null, null, -7.2935023, 11.835289,  null, null,  null, null, 
29149, 8.5, 3.58E-5, 0.0059982, 0.0179, 2.9991, 0.0015136, -0.0019562, 0.7568, -0.9781, 20.625, 20.5625,  null, null, null, null, 0.7747, 2.021, -0.36945, 1.9886,  null, null, -6.7682023, 10.584099,  null, null,  null, null, 
29148, 9.0, -0.004314, 0.0041284, -2.157, 2.0642, 0.0049442, -5.554E-4, 2.4721, -0.2777, 20.6484, 20.5625,  null, null, null, null, 0.3151, 1.7865, -2.31455, 1.17095,  null, null, -6.398752, 8.595499,  null, null,  null, null, 
29147, 9.5, -0.0053092, 0.0037654, -2.6546, 1.8827, 0.0054604, 0.0014558, 2.7302, 0.727902, 20.7109, 20.5781,  null, null, null, null, 0.0756, 2.610602, -2.6924, 0.577399,  null, null, -4.0842023, 7.424549,  null, null,  null, null, 
29146, 10.0, -0.0042042, 0.004448, -2.1021, 2.224, 0.0042112, 0.001109, 2.1056, 0.5545, 20.6641, 20.5391,  null, null, null, null, 0.0035, 2.7785, -2.10385, 0.83475,  null, null, -1.3918022, 6.84715,  null, null,  null, null, 
29145, 10.5, 2.366E-4, 5.116E-4, 0.1183, 0.2558, -4.518E-4, 0.0055518, -0.2259, 2.7759, 20.6953, 20.5781,  null, null, null, null, -0.1076, 3.0317, 0.1721, -1.26005,  null, null, 0.7120477, 6.0123997,  null, null,  null, null, 
29144, 11.0, 7.6E-6, -0.0027758, 0.0038, -1.3879, -2.008E-4, 0.008519, -0.1004, 4.2595, 20.7656, 20.6016,  null, null, null, null, -0.0966, 2.8716, 0.0521, -2.8237,  null, null, 0.5399477, 7.2724495,  null, null,  null, null, 
29143, 11.5, -0.0018786, -0.0020072, -0.9393, -1.0036, 0.0029906, 0.0064202, 1.4953, 3.2101, 20.7734, 20.6172,  null, null, null, null, 0.556, 2.2065, -1.2173, -2.10685,  null, null, 0.4878477, 10.096149,  null, null,  null, null, 
29142, 12.0, -0.005852, 0.0020244, -2.926, 1.0122, 0.007173, 0.0012564, 3.5865, 0.628201, 20.8203, 20.6562,  null, null, null, null, 0.6605, 1.640401, -3.25625, 0.1919995,  null, null, 1.7051477, 12.202999,  null, null,  null, null, 
29141, 12.5, -0.0117846, 0.0090798, -5.8923, 4.5399, 0.0121522, -0.0039726, 6.0761, -1.9863, 20.8359, 20.6562,  null, null, null, null, 0.1838, 2.5536, -5.9842, 3.2631,  null, null, 4.9613976, 12.011,  null, null,  null, null, 
29140, 13.0, -0.0165864, 0.0148492, -8.2932, 7.4246, 0.016306, -0.0085216, 8.153, -4.2608, 20.8984, 20.7109,  null, null, null, null, -0.1402, 3.1638, -8.2231, 5.8427,  null, null, 10.945598, 8.7479,  null, null,  null, null, 
29139, 13.5, -0.0204818, 0.0162744, -10.2409, 8.1372, 0.0209112, -0.0114244, 10.4556, -5.7122, 20.9609, 20.7266,  null, null, null, null, 0.2147, 2.425, -10.34825, 6.9247,  null, null, 19.168697, 2.9051995,  null, null,  null, null, 
29138, 14.0, -0.0237284, 0.017659, -11.8642, 8.8295, 0.023715, -0.0123684, 11.8575, -6.1842, 20.9453, 20.7734,  null, null, null, null, -0.0067, 2.6453, -11.86085, 7.50685,  null, null, 29.516949, -4.0195003,  null, null,  null, null, 
29137, 14.5, -0.0203524, 0.01444, -10.1762, 7.22, 0.023923, -0.0115842, 11.9615, -5.7921, 21.0312, 20.8047,  null, null, null, null, 1.7853, 1.4279, -11.06885, 6.50605,  null, null, 41.3778, -11.52635,  null, null,  null, null, 
29136, 15.0, -0.011765, 0.0124302, -5.8825, 6.2151, 0.0134074, -0.0115272, 6.7037, -5.7636, 21.0859, 20.8359,  null, null, null, null, 0.8212, 0.4515, -6.2931, 5.98935,  null, null, 52.446648, -18.0324,  null, null,  null, null, 
29135, 15.5, -0.0091468, 0.0161922, -4.5734, 8.0961, 0.009128, -0.0108108, 4.564, -5.4054, 21.1328, 20.8594,  null, null, null, null, -0.0094, 2.6907, -4.5687, 6.75075,  null, null, 58.739746, -24.02175,  null, null,  null, null, 
29134, 16.0, -0.0056286, 0.0172326, -2.8143, 8.6163, 0.0054872, -0.0114712, 2.7436, -5.7356, 21.1953, 20.9297,  null, null, null, null, -0.0707, 2.8807, -2.77895, 7.17595,  null, null, 63.308445, -30.7725,  null, null,  null, null, 
29133, 16.5, -7.25E-4, 0.014244, -0.3625, 7.122, 0.0012398, -0.0095456, 0.6199, -4.7728, 21.3047, 20.9219,  null, null, null, null, 0.2574, 2.3492, -0.4912, 5.9474,  null, null, 66.087395, -37.94845,  null, null,  null, null, 
29132, 17.0, 0.0048274, 0.0096548, 2.4137, 4.8274, -0.0043964, -0.0048568, -2.1982, -2.4284, 21.3047, 20.9688,  null, null, null, null, 0.2155, 2.399, 2.30595, 3.6279,  null, null, 66.5786, -43.895847,  null, null,  null, null, 
29131, 17.5, 0.011686, 0.0040282, 5.843, 2.0141, -0.0096384, -9.954E-4, -4.8192, -0.4977, 21.3125, 21.0,  null, null, null, null, 1.0238, 1.5164, 5.3311, 1.2559,  null, null, 64.27265, -47.523746,  null, null,  null, null, 
29130, 18.0, 0.0142964, -0.0010406, 7.1482, -0.5203, -0.0129574, 0.0013734, -6.4787, 0.686701, 21.3594, 21.0391,  null, null, null, null, 0.6695, 0.166401, 6.81345, -0.6035005,  null, null, 58.94155, -48.779648,  null, null,  null, null, 
