Site Name: rozmarin Jerusalem 
Borehole Name: 1.1
Borehole Depth: 20.5 metres
Interval: 0.5m
Degrees From North: 0
Latitude: 0.0, Longitude: 0.0
Operator Name: 
Probe Serial Number: DPI0189
Reel Serial Number: 520
Survey Date: 20240718_131703
Survey Comment: 
ID, DEPTH_METRES, A_POSITIVE_SINX, B_POSITIVE_SINX, A_POSITIVE_MM, B_POSITIVE_MM, A_NEGATIVE_SINX, B_NEGATIVE_SINX, A_NEGATIVE_MM, B_NEGATIVE_MM, POSITIVE_TEMP, NEGATIVE_TEMP, BASE_AVG_A_POSITIVE_MM, BASE_AVG_B_POSITIVE_MM, BASE_AVG_A_NEGATIVE_MM, BASE_AVG_B_NEGATIVE_MM, CHECKSUM_A_MM, CHECKSUM_B_MM, MEAN_DEVIATION_A_MM, MEAN_DEVIATION_B_MM, BASE_MEAN_DEVIATION_A_MM, BASE_MEAN_DEVIATION_B_MM, ABSOLUTE_A_MM, ABSOLUTE_B_MM, INCREMENTAL_DISPLACEMENT_A_MM, INCREMENTAL_DISPLACEMENT_B_MM, CUMULATIVE_DISPLACEMENT_A_MM, CUMULATIVE_DISPLACEMENT_B_MM
15365, 0.5, 0.0246096, 0.0096804, 12.3048, 4.8402, -0.0226554, -0.0108006, -11.3277, -5.4003, 23.6875, 22.2812,  null, null, null, null, 0.9771, -0.5601, 11.81625, 5.12025,  null, null, 57.990704, 55.31436,  null, null,  null, null, 
15364, 1.0, 0.023807, 0.0091354, 11.9035, 4.5677, -0.021703, -0.0098584, -10.8515, -4.9292, 23.7109, 22.2812,  null, null, null, null, 1.052, -0.3615, 11.3775, 4.74845,  null, null, 46.174454, 50.19411,  null, null,  null, null, 
15363, 1.5, 0.0216732, 0.0095272, 10.8366, 4.7636, -0.020128, -0.0096344, -10.064, -4.8172, 23.7422, 22.2812,  null, null, null, null, 0.7726, -0.0536, 10.4503, 4.7904,  null, null, 34.796955, 45.44566,  null, null,  null, null, 
15362, 2.0, 0.0189808, 0.0101662, 9.4904, 5.0831, -0.0172132, -0.0095108, -8.6066, -4.7554, 23.8125, 22.2734,  null, null, null, null, 0.8838, 0.3277, 9.0485, 4.91925,  null, null, 24.346655, 40.65526,  null, null,  null, null, 
15361, 2.5, 0.0142384, 0.0109102, 7.1192, 5.4551, -0.012796, -0.011567, -6.398, -5.7835, 23.875, 22.2734,  null, null, null, null, 0.7212, -0.3284, 6.7586, 5.6193,  null, null, 15.298155, 35.736008,  null, null,  null, null, 
15360, 3.0, 0.008177, 0.0101184, 4.0885, 5.0592, -0.006305, -0.0092986, -3.1525, -4.6493, 23.9844, 22.2734,  null, null, null, null, 0.936, 0.4099, 3.6205, 4.85425,  null, null, 8.539555, 30.116709,  null, null,  null, null, 
15359, 3.5, 0.0039078, 0.00901502, 1.9539, 4.50751, -0.0022008, -0.0085082, -1.1004, -4.2541, 24.0391, 22.25,  null, null, null, null, 0.8535, 0.25341, 1.52715, 4.380805,  null, null, 4.919055, 25.262459,  null, null,  null, null, 
15358, 4.0, 0.0022986, 0.006507, 1.1493, 3.2535, -4.268E-4, -0.0061734, -0.2134, -3.0867, 24.1875, 22.2812,  null, null, null, null, 0.9359, 0.1668, 0.68135, 3.1701,  null, null, 3.3919048, 20.881655,  null, null,  null, null, 
15357, 4.5, 0.0041092, 0.0027878, 2.0546, 1.3939, -0.0025192, -0.002261, -1.2596, -1.1305, 24.25, 22.2812,  null, null, null, null, 0.795, 0.2634, 1.6571, 1.2622,  null, null, 2.7105548, 17.711555,  null, null,  null, null, 
15356, 5.0, 0.0039736, 6.504E-4, 1.9868, 0.3252, -0.0023486, -3.338E-4, -1.1743, -0.1669, 24.3906, 22.2578,  null, null, null, null, 0.8125, 0.1583, 1.58055, 0.24605,  null, null, 1.0534549, 16.449356,  null, null,  null, null, 
