Site Name: rozmarin Jerusalem 
Borehole Name: 15
Borehole Depth: 14.0 metres
Interval: 0.5m
Degrees From North: 0
Latitude: 0.0, Longitude: 0.0
Operator Name: 15(03)
Probe Serial Number: DPI0189
Reel Serial Number: 520
Survey Date: 20250720_104524
Survey Comment: 
ID, DEPTH_METRES, A_POSITIVE_SINX, B_POSITIVE_SINX, A_POSITIVE_MM, B_POSITIVE_MM, A_NEGATIVE_SINX, B_NEGATIVE_SINX, A_NEGATIVE_MM, B_NEGATIVE_MM, POSITIVE_TEMP, NEGATIVE_TEMP, BASE_AVG_A_POSITIVE_MM, BASE_AVG_B_POSITIVE_MM, BASE_AVG_A_NEGATIVE_MM, BASE_AVG_B_NEGATIVE_MM, CHECKSUM_A_MM, CHECKSUM_B_MM, MEAN_DEVIATION_A_MM, MEAN_DEVIATION_B_MM, BASE_MEAN_DEVIATION_A_MM, BASE_MEAN_DEVIATION_B_MM, ABSOLUTE_A_MM, ABSOLUTE_B_MM, INCREMENTAL_DISPLACEMENT_A_MM, INCREMENTAL_DISPLACEMENT_B_MM, CUMULATIVE_DISPLACEMENT_A_MM, CUMULATIVE_DISPLACEMENT_B_MM
27386, 0.5, 0.0625064, -0.0242954, 31.2532, -12.1477, -0.0638296, 0.023477, -31.9148, 11.7385, 27.6875, 27.3594,  null, null, null, null, -0.6616, -0.4092, 31.584, -11.9431,  null, null, -127.517105, 46.39055,  null, null,  null, null, 
27385, 1.0, 0.0428626, -0.0110508, 21.4313, -5.5254, -0.0429326, 0.0100658, -21.4663, 5.0329, 27.7188, 27.3594,  null, null, null, null, -0.035, -0.4925, 21.4488, -5.27915,  null, null, -159.1011, 58.33365,  null, null,  null, null, 
27384, 1.5, 0.0171176, 0.0031252, 8.5588, 1.5626, -0.0178288, -0.0028434, -8.9144, -1.4217, 27.7266, 27.3516,  null, null, null, null, -0.3556, 0.1409, 8.7366, 1.49215,  null, null, -180.5499, 63.6128,  null, null,  null, null, 
27383, 2.0, 3.032E-4, 0.0121498, 0.1516, 6.0749, -5.752E-4, -0.0123904, -0.2876, -6.1952, 27.75, 27.3672,  null, null, null, null, -0.136, -0.1203, 0.2196, 6.13505,  null, null, -189.2865, 62.12065,  null, null,  null, null, 
27382, 2.5, -0.0110012, 0.0194524, -5.5006, 9.7262, 0.0104596, -0.018213, 5.2298, -9.1065, 27.7734, 27.3672,  null, null, null, null, -0.2708, 0.6197, -5.3652, 9.41635,  null, null, -189.5061, 55.9856,  null, null,  null, null, 
27381, 3.0, -0.016759, 0.0193144, -8.3795, 9.6572, 0.0162472, -0.020594, 8.1236, -10.297, 27.7891, 27.4453,  null, null, null, null, -0.2559, -0.6398, -8.25155, 9.9771,  null, null, -184.1409, 46.56925,  null, null,  null, null, 
27380, 3.5, -0.0196934, 0.0185364, -9.8467, 9.2682, 0.0188768, -0.0182798, 9.4384, -9.1399, 27.8281, 27.4453,  null, null, null, null, -0.4083, 0.1283, -9.64255, 9.20405,  null, null, -175.88934, 36.592148,  null, null,  null, null, 
27379, 4.0, -0.0204788, 0.0168804, -10.2394, 8.4402, 0.0196836, -0.0162176, 9.8418, -8.1088, 27.8281, 27.4453,  null, null, null, null, -0.3976, 0.3314, -10.0406, 8.2745,  null, null, -166.2468, 27.3881,  null, null,  null, null, 
27378, 4.5, -0.0190618, 0.0138016, -9.5309, 6.9008, 0.0183774, -0.0137646, 9.1887, -6.8823, 27.8594, 27.4141,  null, null, null, null, -0.3422, 0.0185, -9.3598, 6.89155,  null, null, -156.20619, 19.1136,  null, null,  null, null, 
27377, 5.0, -0.0168392, 0.0125132, -8.4196, 6.2566, 0.0162012, -0.012145, 8.1006, -6.0725, 27.8906, 27.4531,  null, null, null, null, -0.319, 0.1841, -8.2601, 6.16455,  null, null, -146.84639, 12.22205,  null, null,  null, null, 
27376, 5.5, -0.0143452, 0.0104932, -7.1726, 5.2466, 0.0129102, -0.0100708, 6.4551, -5.0354, 27.8906, 27.4844,  null, null, null, null, -0.7175, 0.2112, -6.81385, 5.141,  null, null, -138.58629, 6.0574994,  null, null,  null, null, 
27375, 6.0, -0.0062098, 0.0038834, -3.1049, 1.9417, 0.0056658, -0.004332, 2.8329, -2.166, 27.9531, 27.5156,  null, null, null, null, -0.272, -0.2243, -2.9689, 2.05385,  null, null, -131.77245, 0.9164995,  null, null,  null, null, 
27374, 6.5, -0.0066554, 0.0036424, -3.3277, 1.8212, 0.0058694, -0.0031446, 2.9347, -1.5723, 27.9609, 27.5,  null, null, null, null, -0.393, 0.2489, -3.1312, 1.69675,  null, null, -128.80354, -1.1373504,  null, null,  null, null, 
27373, 7.0, -0.0081156, 0.0036206, -4.0578, 1.8103, 0.0073576, -0.0030754, 3.6788, -1.5377, 27.9375, 27.5703,  null, null, null, null, -0.379, 0.2726, -3.8683, 1.674,  null, null, -125.67235, -2.8341005,  null, null,  null, null, 
27372, 7.5, -0.0116124, 0.0022284, -5.8062, 1.1142, 0.010936, -0.0021422, 5.468, -1.0711, 27.9688, 27.5078,  null, null, null, null, -0.3382, 0.0431, -5.6371, 1.09265,  null, null, -121.80405, -4.5081005,  null, null,  null, null, 
27371, 8.0, -0.0150468, 9.884E-4, -7.5234, 0.4942, 0.0142182, -0.0013408, 7.1091, -0.6704, 28.0, 27.5781,  null, null, null, null, -0.4143, -0.1762, -7.31625, 0.5823,  null, null, -116.16695, -5.6007504,  null, null,  null, null, 
27370, 8.5, -0.0194436, 2.18E-5, -9.7218, 0.0109, 0.0185352, 0.0010268, 9.2676, 0.5134, 28.0391, 27.6094,  null, null, null, null, -0.4542, 0.5243, -9.4947, -0.25125,  null, null, -108.8507, -6.1830506,  null, null,  null, null, 
27369, 9.0, -0.0248452, -0.004253, -12.4226, -2.1265, 0.0240352, 0.0035752, 12.0176, 1.7876, 28.0391, 27.5938,  null, null, null, null, -0.405, -0.3389, -12.2201, -1.95705,  null, null, -99.356, -5.931801,  null, null,  null, null, 
27368, 9.5, -0.024579, -0.0024586, -12.2895, -1.2293, 0.023987, 0.0023804, 11.9935, 1.1902, 28.0469, 27.6719,  null, null, null, null, -0.296, -0.0391, -12.1415, -1.20975,  null, null, -87.1359, -3.974751,  null, null,  null, null, 
27367, 10.0, -0.0226968, -4.44E-5, -11.3484, -0.0222, 0.022096, 8.98E-5, 11.048, 0.0449, 28.0234, 27.625,  null, null, null, null, -0.3004, 0.0227, -11.1982, -0.03355,  null, null, -74.9944, -2.7650008,  null, null,  null, null, 
27366, 10.5, -0.0195588, 0.0017546, -9.7794, 0.8773, 0.018874, -0.002097, 9.437, -1.0485, 28.0547, 27.625,  null, null, null, null, -0.3424, -0.1712, -9.6082, 0.9629,  null, null, -63.7962, -2.7314508,  null, null,  null, null, 
27365, 11.0, -0.0166012, 0.0031978, -8.3006, 1.5989, 0.0157886, -0.0033776, 7.8943, -1.6888, 28.0547, 27.6172,  null, null, null, null, -0.4063, -0.0899, -8.09745, 1.64385,  null, null, -54.188, -3.6943507,  null, null,  null, null, 
27364, 11.5, -0.0141564, 0.0047652, -7.0782, 2.3826, 0.013368, -0.0038216, 6.684, -1.9108, 28.0781, 27.6562,  null, null, null, null, -0.3942, 0.4718, -6.8811, 2.1467,  null, null, -46.09055, -5.3382006,  null, null,  null, null, 
27363, 12.0, -0.0158972, 0.0028252, -7.9486, 1.4126, 0.0151212, -0.0026082, 7.5606, -1.3041, 28.0469, 27.6562,  null, null, null, null, -0.388, 0.1085, -7.7546, 1.35835,  null, null, -39.20945, -7.4849005,  null, null,  null, null, 
27362, 12.5, -0.0165666, -6.54E-4, -8.2833, -0.327, 0.0158288, 4.364E-4, 7.9144, 0.2182, 28.1016, 27.7031,  null, null, null, null, -0.3689, -0.1088, -8.09885, -0.2726,  null, null, -31.454851, -8.84325,  null, null,  null, null, 
27361, 13.0, -0.0175212, -0.0033384, -8.7606, -1.6692, 0.016751, 0.0028536, 8.3755, 1.4268, 28.0938, 27.7031,  null, null, null, null, -0.3851, -0.2424, -8.56805, -1.548,  null, null, -23.356, -8.57065,  null, null,  null, null, 
27360, 13.5, -0.0158584, -0.0063574, -7.9292, -3.1787, 0.0149728, 0.006221, 7.4864, 3.1105, 28.0938, 27.7188,  null, null, null, null, -0.4428, -0.0682, -7.7078, -3.1446,  null, null, -14.7879505, -7.02265,  null, null,  null, null, 
27359, 14.0, -0.0145184, -0.0077202, -7.2592, -3.8601, 0.0138022, 0.007792, 6.9011, 3.896, null,27.7188,  null, null, null, null, -0.3581, 0.0359, -7.08015, -3.87805,  null, null, -7.08015, -3.87805,  null, null,  null, null, 
