Site Name: rozmarin Jerusalem 
Borehole Name: 15
Borehole Depth: 14.0 metres
Interval: 0.5m
Degrees From North: 0
Latitude: 0.0, Longitude: 0.0
Operator Name: 15(02)
Probe Serial Number: DPI0189
Reel Serial Number: 520
Survey Date: 20250720_103055
Survey Comment: 
ID, DEPTH_METRES, A_POSITIVE_SINX, B_POSITIVE_SINX, A_POSITIVE_MM, B_POSITIVE_MM, A_NEGATIVE_SINX, B_NEGATIVE_SINX, A_NEGATIVE_MM, B_NEGATIVE_MM, POSITIVE_TEMP, NEGATIVE_TEMP, BASE_AVG_A_POSITIVE_MM, BASE_AVG_B_POSITIVE_MM, BASE_AVG_A_NEGATIVE_MM, BASE_AVG_B_NEGATIVE_MM, CHECKSUM_A_MM, CHECKSUM_B_MM, MEAN_DEVIATION_A_MM, MEAN_DEVIATION_B_MM, BASE_MEAN_DEVIATION_A_MM, BASE_MEAN_DEVIATION_B_MM, ABSOLUTE_A_MM, ABSOLUTE_B_MM, INCREMENTAL_DISPLACEMENT_A_MM, INCREMENTAL_DISPLACEMENT_B_MM, CUMULATIVE_DISPLACEMENT_A_MM, CUMULATIVE_DISPLACEMENT_B_MM
27358, 0.5, 0.0623578, -0.0245566, 31.1789, -12.2783, -0.063641, 0.023629, -31.8205, 11.8145, 29.1562, 28.2734,  null, null, null, null, -0.6416, -0.4638, 31.4997, -12.0464,  null, null, -127.647316, 46.289703,  null, null,  null, null, 
27357, 1.0, 0.0425608, -0.0109392, 21.2804, -5.4696, -0.0429892, 0.0105022, -21.4946, 5.2511, 29.1562, 28.2969,  null, null, null, null, -0.2142, -0.2185, 21.3875, -5.36035,  null, null, -159.14702, 58.3361,  null, null,  null, null, 
27356, 1.5, 0.0167824, 0.0030528, 8.3912, 1.5264, -0.017815, -0.002486, -8.9075, -1.243, 29.2188, 28.3281,  null, null, null, null, -0.5163, 0.2834, 8.64935, 1.3847,  null, null, -180.53452, 63.696453,  null, null,  null, null, 
27355, 2.0, 1.008E-4, 0.0127496, 0.0504, 6.3748, -6.406E-4, -0.0126284, -0.3203, -6.3142, 29.2266, 28.3594,  null, null, null, null, -0.2699, 0.0606, 0.18535, 6.3445,  null, null, -189.18387, 62.311752,  null, null,  null, null, 
27354, 2.5, -0.0110412, 0.0194834, -5.5206, 9.7417, 0.0104308, -0.0184322, 5.2154, -9.2161, 29.2344, 28.4141,  null, null, null, null, -0.3052, 0.5256, -5.368, 9.4789,  null, null, -189.36922, 55.96725,  null, null,  null, null, 
27353, 3.0, -0.0167656, 0.019372, -8.3828, 9.686, 0.0163018, -0.0203226, 8.1509, -10.1613, 29.2891, 28.4141,  null, null, null, null, -0.2319, -0.4753, -8.26685, 9.92365,  null, null, -184.00122, 46.48835,  null, null,  null, null, 
27352, 3.5, -0.0197208, 0.018016, -9.8604, 9.008, 0.0189474, -0.01798, 9.4737, -8.99, 29.2891, 28.4297,  null, null, null, null, -0.3867, 0.018, -9.66705, 8.999,  null, null, -175.73438, 36.5647,  null, null,  null, null, 
27351, 4.0, -0.0204234, 0.0168366, -10.2117, 8.4183, 0.0196464, -0.0163652, 9.8232, -8.1826, 29.3828, 28.4688,  null, null, null, null, -0.3885, 0.2357, -10.01745, 8.30045,  null, null, -166.06732, 27.5657,  null, null,  null, null, 
27350, 4.5, -0.0190532, 0.0146786, -9.5266, 7.3393, 0.0184416, -0.0142972, 9.2208, -7.1486, 29.3516, 28.4531,  null, null, null, null, -0.3058, 0.1907, -9.3737, 7.24395,  null, null, -156.04987, 19.265251,  null, null,  null, null, 
27349, 5.0, -0.0168834, 0.0122142, -8.4417, 6.1071, 0.0162218, -0.0125296, 8.1109, -6.2648, 29.3984, 28.5469,  null, null, null, null, -0.3308, -0.1577, -8.2763, 6.18595,  null, null, -146.67616, 12.021301,  null, null,  null, null, 
