Site Name: rozmarin Jerusalem 
Borehole Name: 15
Borehole Depth: 14.0 metres
Interval: 0.5m
Degrees From North: 0
Latitude: 0.0, Longitude: 0.0
Operator Name: 15(1)
Probe Serial Number: DPI0189
Reel Serial Number: 520
Survey Date: 20250720_101440
Survey Comment: 
ID, DEPTH_METRES, A_POSITIVE_SINX, B_POSITIVE_SINX, A_POSITIVE_MM, B_POSITIVE_MM, A_NEGATIVE_SINX, B_NEGATIVE_SINX, A_NEGATIVE_MM, B_NEGATIVE_MM, POSITIVE_TEMP, NEGATIVE_TEMP, BASE_AVG_A_POSITIVE_MM, BASE_AVG_B_POSITIVE_MM, BASE_AVG_A_NEGATIVE_MM, BASE_AVG_B_NEGATIVE_MM, CHECKSUM_A_MM, CHECKSUM_B_MM, MEAN_DEVIATION_A_MM, MEAN_DEVIATION_B_MM, BASE_MEAN_DEVIATION_A_MM, BASE_MEAN_DEVIATION_B_MM, ABSOLUTE_A_MM, ABSOLUTE_B_MM, INCREMENTAL_DISPLACEMENT_A_MM, INCREMENTAL_DISPLACEMENT_B_MM, CUMULATIVE_DISPLACEMENT_A_MM, CUMULATIVE_DISPLACEMENT_B_MM
27312, 9.5, -0.0245582, -0.0024208, -12.2791, -1.2104, 0.023843, 0.0020746, 11.9215, 1.0373, null,-3.5E-5,  null, null, null, null, -0.3576, -0.1731, -12.1003, -1.12385,  null, null, -87.060196, -3.2499056,  null, null,  null, null, 
27311, 10.0, -0.0227818, -3.584E-4, -11.3909, -0.1792, 0.0220676, 5.43E-4, 11.0338, 0.2715, null,-3.5E-5,  null, null, null, null, -0.3571, 0.0923, -11.21235, -0.22535,  null, null, -74.9599, -2.1260555,  null, null,  null, null, 
27310, 10.5, -0.0195588, 0.002342, -9.7794, 1.171, 0.018839, -0.002125, 9.4195, -1.0625, null,-3.5E-5,  null, null, null, null, -0.3599, 0.1085, -9.59945, 1.11675,  null, null, -63.74755, -1.9007056,  null, null,  null, null, 
27309, 11.0, -0.0165688, 0.0039232, -8.2844, 1.9616, 0.0158838, -0.00304681, 7.9419, -1.5234, null,-3.5E-5,  null, null, null, null, -0.3425, 0.4382, -8.11315, 1.7425,  null, null, -54.1481, -3.0174556,  null, null,  null, null, 
27308, 11.5, -0.0142496, 0.0046168, -7.1248, 2.3084, 0.0133638, -0.0043022, 6.6819, -2.1511, null,-3.5E-5,  null, null, null, null, -0.4429, 0.1573, -6.90335, 2.22975,  null, null, -46.03495, -4.7599554,  null, null,  null, null, 
27307, 12.0, -0.0157536, 0.0023768, -7.8768, 1.1884, 0.0149786, -0.0028416, 7.4893, -1.4208, null,-3.5E-5,  null, null, null, null, -0.3875, -0.2324, -7.68305, 1.3046,  null, null, -39.1316, -6.989705,  null, null,  null, null, 
27306, 12.5, -0.0166676, -4.054E-4, -8.3338, -0.2027, 0.0157956, 3.4E-5, 7.8978, 0.017, null,-3.5E-5,  null, null, null, null, -0.436, -0.1857, -8.1158, -0.10985,  null, null, -31.448551, -8.294305,  null, null,  null, null, 
27305, 13.0, -0.017477, -0.0030548, -8.7385, -1.5274, 0.0167916, 0.0025504, 8.3958, 1.2752, null,-0.003748,  null, null, null, null, -0.3427, -0.2522, -8.56715, -1.4013,  null, null, -23.33275, -8.184455,  null, null,  null, null, 
27304, 13.5, -0.0158096, -0.00584561, -7.9048, -2.92281, 0.0149578, 0.0061306, 7.4789, 3.0653, null,-0.003748,  null, null, null, null, -0.4259, 0.14249, -7.69185, -2.994055,  null, null, -14.7656, -6.783155,  null, null,  null, null, 
27303, 14.0, -0.014503, -0.007339, -7.2515, -3.6695, 0.013792, 0.0078174, 6.896, 3.9087, null,-0.003748,  null, null, null, null, -0.3555, 0.2392, -7.07375, -3.7891,  null, null, -7.07375, -3.7891,  null, null,  null, null, 
